	Adj Close	Adj Close	Close	Close	High	High	Low	Low	Open	Open	Volume	Volume
	BOVA11.SA	^BVSP	BOVA11.SA	^BVSP	BOVA11.SA	^BVSP	BOVA11.SA	^BVSP	BOVA11.SA	^BVSP	BOVA11.SA	^BVSP
Date												
2019-01-02	87.9	91012.0	87.9	91012.0	88.26	91479.0	84.35	87536.0	84.6	87887.0	5021260	5615400
2019-01-03	88.0	91564.0	88.0	91564.0	88.4	91596.0	86.8	89922.0	87.55	91011.0	4300220	6066200
2019-01-04	88.5	91841.0	88.5	91841.0	89.45	92701.0	87.63	90824.0	88.2	91577.0	2449750	5322100
2019-01-07	88.48	91699.0	88.48	91699.0	89.32	92552.0	88.06	91288.0	88.65	91845.0	2891360	4565000
2019-01-08	88.83	92032.0	88.83	92032.0	88.97	92231.0	87.87	91064.0	88.75	91699.0	3441770	4496500
2019-01-09	90.32	93613.0	90.32	93613.0	90.37	93626.0	89.12	92028.0	89.31	92033.0	8279800	5011400
2019-01-10	90.42	93806.0	90.42	93806.0	90.69	93987.0	89.83	93050.0	90.14	93599.0	2659920	4840600
2019-01-11	90.38	93658.0	90.38	93658.0	90.54	93961.0	90.02	93359.0	90.5	93806.0	2551310	5330500
2019-01-14	91.21	94474.0	91.21	94474.0	91.21	94474.0	90.1	93335.0	90.5	93645.0	4730780	4486900
2019-01-15	90.61	94056.0	90.61	94056.0	91.33	94695.0	90.11	93402.0	91.24	94474.0	3142940	4836400
2019-01-16	91.15	94393.0	91.15	94393.0	91.15	94393.0	90.38	93687.0	90.6	94057.0	2397860	4257400
2019-01-17	91.97	95351.0	91.97	95351.0	92.3	95682.0	90.63	93950.0	91.19	94393.0	6305700	4944200
2019-01-18	92.61	96097.0	92.61	96097.0	93.0	96396.0	92.13	95386.0	92.13	95386.0	4320330	4884000
2019-01-21	92.64	96010.0	92.64	96010.0	92.64	96093.0	91.51	94863.0	92.48	96093.0	4982260	2717600
2019-01-22	91.4	95103.0	91.4	95103.0	92.7	96070.0	91.3	94662.0	92.21	96008.0	4479240	4256000
2019-01-23	93.1	96558.0	93.1	96558.0	93.21	96576.0	92.0	95116.0	92.0	95116.0	5897270	0
2019-01-24	94.17	97677.0	94.17	97677.0	94.17	97677.0	92.97	96558.0	93.1	96558.0	3726980	5019400
2019-01-28	92.08	95444.0	92.08	95444.0	92.84	97937.0	91.41	94783.0	92.5	97674.0	5478580	7185300
2019-01-29	92.19	95639.0	92.19	95639.0	93.34	96751.0	92.19	95508.0	92.8	95508.0	1986330	5262000
2019-01-30	93.52	96996.0	93.52	96996.0	93.67	97107.0	92.42	95643.0	93.44	95643.0	3607100	6164400
2019-01-31	94.0	97394.0	94.0	97394.0	94.95	98405.0	94.0	96996.0	94.26	96996.0	4923640	5976000
2019-02-01	94.36	97861.0	94.36	97861.0	94.58	98044.0	93.6	96990.0	94.1	97395.0	4287810	4301600
2019-02-04	95.03	98589.0	95.03	98589.0	95.1	98589.0	93.4	96901.0	94.0	97861.0	4336200	4278300
2019-02-05	94.8	98311.0	94.8	98311.0	95.1	98587.0	94.15	97596.0	94.6	98587.0	3713770	4773700
2019-02-06	91.27	94636.0	91.27	94636.0	93.83	98308.0	91.27	94636.0	93.83	98308.0	6915540	5458200
2019-02-07	91.0	94406.0	91.0	94406.0	92.25	95642.0	90.18	93507.0	92.0	94654.0	4777200	5612500
2019-02-08	91.7	95343.0	91.7	95343.0	92.14	95486.0	90.08	93424.0	90.48	94401.0	5346560	5302500
2019-02-11	90.99	94413.0	90.99	94413.0	92.32	95499.0	90.38	93737.0	92.31	95351.0	4263240	3767300
2019-02-12	92.45	96168.0	92.45	96168.0	93.17	96571.0	91.74	94420.0	92.11	94420.0	3588110	4915000
2019-02-13	92.6	95842.0	92.6	95842.0	93.33	96804.0	91.97	95389.0	93.03	96169.0	6370360	5814400
2019-02-14	94.34	98015.0	94.34	98015.0	94.54	98019.0	91.45	94915.0	92.85	95843.0	7360300	5222300
2019-02-15	94.04	97526.0	94.04	97526.0	94.8	98238.0	93.58	97083.0	94.15	98015.0	5919580	4586300
2019-02-18	92.98	96510.0	92.98	96510.0	93.69	97527.0	92.77	96239.0	93.38	97527.0	4207220	2837100
2019-02-19	93.78	97659.0	93.78	97659.0	94.71	98185.0	93.38	96513.0	93.5	96513.0	4621560	4830600
2019-02-20	93.17	96545.0	93.17	96545.0	95.04	98544.0	93.07	96545.0	94.59	97661.0	5007090	5906800
2019-02-21	93.58	96932.0	93.58	96932.0	93.74	97231.0	92.31	95793.0	93.59	96546.0	3893250	5814100
2019-02-22	94.44	97886.0	94.44	97886.0	94.44	97887.0	93.52	96929.0	94.23	96929.0	3707580	4426600
2019-02-25	93.77	97240.0	93.77	97240.0	94.69	98190.0	93.65	97087.0	94.61	97881.0	4586540	4360000
2019-02-26	94.12	97603.0	94.12	97603.0	94.45	97904.0	93.63	97235.0	93.98	97242.0	3401590	3555100
2019-02-27	93.84	97307.0	93.84	97307.0	94.32	97782.0	93.45	96886.0	94.12	97603.0	1952730	3873500
2019-02-28	91.85	95584.0	91.85	95584.0	94.04	97528.0	91.85	95364.0	93.9	97307.0	5550710	5365700
2019-03-01	91.08	94604.0	91.08	94604.0	92.57	96113.0	91.0	94394.0	92.4	95584.0	4918040	4054700
2019-03-06	90.76	94217.0	90.76	94217.0	91.68	94889.0	90.58	93945.0	91.58	94604.0	2721700	2715300
2019-03-07	91.05	94340.0	91.05	94340.0	91.25	94532.0	90.36	93729.0	91.05	94216.0	4568960	4104300
2019-03-08	91.85	95365.0	91.85	95365.0	92.1	95476.0	89.94	93305.0	90.58	94340.0	4265280	4054200
2019-03-11	94.55	98027.0	94.55	98027.0	94.55	98027.0	92.02	95384.0	92.02	95384.0	5859500	4251500
2019-03-12	94.4	97828.0	94.4	97828.0	94.75	98150.0	93.79	97267.0	94.75	98038.0	3715640	3832900
2019-03-13	95.31	98904.0	95.31	98904.0	95.8	99267.0	93.91	97464.0	94.25	97831.0	3291150	4812100
2019-03-14	94.95	98605.0	94.95	98605.0	95.51	99036.0	94.27	97776.0	95.49	98905.0	4123000	3584500
2019-03-15	95.53	99137.0	95.53	99137.0	95.88	99393.0	94.97	98597.0	95.04	98605.0	3981260	5136400
2019-03-18	96.38	99994.0	96.38	99994.0	96.51	100038.0	95.59	99141.0	95.78	99141.0	3708260	4204100
2019-03-19	96.06	99588.0	96.06	99588.0	96.86	100439.0	95.81	99373.0	96.49	99991.0	3608920	5231100
2019-03-20	94.35	98041.0	94.35	98041.0	96.2	99708.0	94.35	97981.0	95.95	99588.0	5568840	4633200
2019-03-21	93.01	96729.0	93.01	96729.0	94.51	98046.0	92.02	95456.0	94.31	98041.0	7555810	5321200
2019-03-22	90.25	93735.0	90.25	93735.0	92.03	96725.0	90.02	93380.0	91.7	96725.0	8327570	6001100
2019-03-25	90.35	93662.0	90.35	93662.0	91.04	94384.0	89.68	93103.0	89.97	93735.0	5493440	4508400
2019-03-26	91.91	95307.0	91.91	95307.0	92.14	95525.0	90.58	93668.0	91.01	93668.0	5045360	4660700
2019-03-27	88.1	91903.0	88.1	91903.0	90.85	95297.0	88.1	91903.0	90.85	95297.0	7435440	5726900
2019-03-28	91.02	94389.0	91.02	94389.0	91.51	94854.0	88.23	91584.0	88.73	91901.0	7048700	5192300
2019-03-29	91.81	95415.0	91.81	95415.0	92.48	95863.0	91.44	94402.0	92.13	94402.0	4560410	4674600
2019-04-01	92.35	96054.0	92.35	96054.0	94.0	96752.0	92.31	95423.0	92.92	95423.0	2571020	3753500
2019-04-02	91.83	95387.0	91.83	95387.0	93.25	96690.0	91.32	94825.0	93.04	96062.0	2509880	3713200
2019-04-03	91.16	94491.0	91.16	94491.0	93.0	96442.0	90.72	94124.0	92.74	95392.0	2622960	4308900
2019-04-04	92.87	96313.0	92.87	96313.0	92.99	96394.0	90.96	94334.0	91.5	94503.0	4166240	4086200
2019-04-05	93.56	97108.0	93.56	97108.0	94.0	97493.0	92.69	96152.0	93.1	96319.0	4907720	3689000
2019-04-08	93.78	97369.0	93.78	97369.0	94.15	97610.0	93.25	96743.0	93.63	97110.0	3201110	3430800
2019-04-09	92.7	96292.0	92.7	96292.0	93.48	97366.0	92.04	95488.0	93.45	97366.0	3076420	3733400
2019-04-10	92.49	95953.0	92.49	95953.0	93.47	96902.0	92.2	95670.0	93.2	96292.0	3987500	4574600
2019-04-11	91.38	94755.0	91.38	94755.0	92.48	95954.0	90.75	94173.0	92.48	95954.0	3551360	3530500
2019-04-12	89.51	92875.0	89.51	92875.0	91.39	94768.0	89.2	92516.0	90.33	94747.0	5979690	6712200
2019-04-15	89.81	93083.0	89.81	93083.0	90.46	93723.0	89.35	92697.0	89.94	92875.0	5289580	4629800
2019-04-16	91.0	94333.0	91.0	94333.0	91.67	95062.0	89.52	92879.0	89.8	93082.0	3697530	4581600
2019-04-17	90.0	93285.0	90.0	93285.0	91.64	95042.0	88.94	92338.0	91.25	94337.0	4989980	6458600
2019-04-18	91.16	94578.0	91.16	94578.0	91.81	95140.0	90.01	93285.0	90.4	93285.0	3583690	4933300
2019-04-22	91.2	94588.0	91.2	94588.0	91.63	95038.0	90.31	93721.0	91.0	94578.0	4705250	3176600
2019-04-23	92.37	95923.0	92.37	95923.0	92.88	96315.0	91.6	94590.0	91.6	94590.0	4173940	4309100
2019-04-24	91.6	95045.0	91.6	95045.0	92.68	95923.0	90.73	94163.0	92.68	95923.0	4950530	4658800
2019-04-25	92.9	96552.0	92.9	96552.0	93.0	96552.0	90.77	94213.0	91.5	95027.0	4130300	4878200
2019-04-26	92.63	96236.0	92.63	96236.0	93.05	96563.0	92.15	95620.0	92.8	96552.0	3333290	3767100
2019-04-29	92.72	96188.0	92.72	96188.0	93.66	97123.0	92.55	96004.0	92.96	96254.0	2609020	3225400
2019-04-30	92.88	96353.0	92.88	96353.0	93.26	96707.0	92.18	95613.0	92.87	96191.0	4047930	4228600
2019-05-02	92.16	95528.0	92.16	95528.0	92.5	96339.0	91.85	95312.0	92.19	96339.0	3620950	3863600
2019-05-03	92.6	96008.0	92.6	96008.0	92.9	96315.0	92.35	95521.0	92.39	95521.0	3125500	4014800
2019-05-06	91.61	95009.0	91.61	95009.0	91.65	95992.0	91.11	94540.0	91.49	95992.0	2161810	3216000
2019-05-07	90.98	94389.0	90.98	94389.0	91.1	95009.0	89.35	92750.0	91.1	95009.0	7240150	4907400
2019-05-08	92.11	95597.0	92.11	95597.0	92.85	96312.0	91.3	94389.0	91.3	94389.0	8210830	4916500
2019-05-09	91.37	94808.0	91.37	94808.0	91.75	95597.0	90.5	93883.0	91.59	95597.0	6550810	4152200
2019-05-10	90.8	94258.0	90.8	94258.0	91.45	94848.0	89.85	93234.0	91.33	94809.0	5778000	4097900
2019-05-13	88.31	91727.0	88.31	91727.0	89.57	94252.0	88.25	91600.0	89.29	94252.0	5917070	4662600
2019-05-14	88.76	92092.0	88.76	92092.0	90.07	92529.0	88.24	91562.0	90.0	91736.0	4370970	4045400
2019-05-15	87.87	91623.0	87.87	91623.0	88.43	92088.0	87.0	90295.0	87.84	92088.0	5413870	4791900
2019-05-16	86.56	90024.0	86.56	90024.0	87.96	91622.0	86.51	89778.0	87.61	91622.0	5774360	5570000
2019-05-17	86.74	89993.0	86.74	89993.0	88.07	91321.0	86.12	89409.0	86.51	90023.0	7489250	5342700
2019-05-20	88.83	91946.0	88.83	91946.0	88.83	92117.0	86.56	89822.0	86.77	90006.0	4908950	4620000
2019-05-21	91.19	94485.0	91.19	94485.0	91.19	94573.0	88.63	91946.0	89.2	91946.0	6582190	5397000
2019-05-22	90.96	94361.0	90.96	94361.0	92.0	95212.0	90.49	93883.0	92.0	94485.0	5976970	4232500
2019-05-23	90.43	93910.0	90.43	93910.0	91.15	94547.0	89.88	93300.0	90.4	94360.0	3612770	3787800
2019-05-24	90.43	93628.0	90.43	93628.0	90.43	94900.0	90.43	93545.0	90.43	93912.0	0	3484700
2019-05-27	90.43	94864.0	90.43	94864.0	90.43	95444.0	90.43	93626.0	90.43	93626.0	0	2544800
2019-05-28	90.43	96393.0	90.43	96393.0	90.43	96552.0	90.43	94707.0	90.43	94863.0	0	6383100
2019-05-29	90.43	96567.0	90.43	96567.0	90.43	96986.0	90.43	95690.0	90.43	96389.0	0	4559100
2019-05-30	90.43	97457.0	90.43	97457.0	90.43	97939.0	90.43	96511.0	90.43	96566.0	0	4398200
2019-05-31	90.43	97030.0	90.43	97030.0	90.43	97992.0	90.43	96792.0	90.43	97420.0	0	5089500
2019-06-03	90.43	97020.0	90.43	97020.0	90.43	97757.0	90.43	96430.0	90.43	97036.0	0	4547900
2019-06-04	90.43	97380.0	90.43	97380.0	90.43	97723.0	90.43	96593.0	90.43	97020.0	0	4293300
2019-06-05	93.8	95999.0	93.8	95999.0	93.8	97686.0	93.8	95686.0	93.8	97381.0	0	3769100
2019-06-06	92.64	97205.0	92.64	97205.0	92.64	97462.0	92.64	96002.0	92.64	96002.0	0	4054900
